Subject,Suspicion,PT,EN
Cultura,20,Brasil no Oscar: convidados não conseguem visto de entrada,Brazil at the Oscars: guests unable to get entry visas
Cultura,20,"Filme de terror sobre mula sem cabeça quer ser ""cerebral"" diz diretor","Horror film about the headless mule wants to be ""cerebral"", says director"
Cultura,20,Filme sobre o romance homossexual entre um petista e um bolsonarista bate recordes,Film about gay romance between a Lula and Bolsonaro supporter breaks records
Cultura,20,"Nova série ""Cueca Dourada"": Um suspense sobre onde está o dinheiro","New series ""Golden Briefs"": A thriller about where the money is"
Cultura,20,"""Já ir de ré"", documentário pornô sobre Bozonaso no serviço militar","""Already in Reverse"", porno documentary about Bozonaso in military service"
Cultura,20,Filme sobre a queda do Bozonaso bate recorde de bilheteria e de processos judiciais,Film about Bozonaso's downfall breaks box office and lawsuit records
Cultura,20,"""Agora é nossa vez"" série baseada no meme Guiana Portuguesa estréia em canais de stream","""Now It's Our Turn"" series based on the Portuguese Guyana meme premieres on streaming"
Cultura,20,Filme sobre a queda do Bozonaso bate recorde de bilheteria e de memes na rede,Film about Bozonaso's downfall breaks box office and internet meme records
Cultura,20,"Novo hit de sofrência: ""Seu amor é um boleto""","New heartbreak hit: ""Your love is an unpaid bill"""
Cultura,20,"""AI de mim"" conta a história de um flanelinha que se transforma em IA","""AI of Me"" tells the story of a parking tout who becomes an AI"
Cultura,20,Filme sobre o ET de Varginha ganha prêmio internacional,Film about the Varginha ET wins international award
Cultura,20,"Comédia sobre Brasília ""É rir pra não chorar"" tem exibição proibida","Brasília comedy ""Laugh So You Don't Cry"" banned from screenings"
Economia,20,Taxa de juros sobe de novo,Interest rates rise again
Economia,20,IBOVESPA não sobe mas também não cai,IBOVESPA neither rises nor falls
Economia,20,Gasolina sobe de novo: caminhoneiros protestam contra energia solar,Gas prices rise again: truckers protest solar energy
Economia,20,Pix anônimo proposto por deputados e traficantes,Anonymous Pix payments proposed by lawmakers and drug dealers
Economia,20,Selic continua alta e empresários dizem que o Brasil não tem jeito,Selic rate stays high and business leaders say Brazil is hopeless
Economia,20,Juros dos EUA mais alto que do Brasil pela primeira vez,US interest rates surpass Brazil's for the first time
Economia,20,Preço da cebola faz dona de casa chorar,Onion prices bring housewives to tears
Economia,20,"""Imposto do Clique"": Lulalelé quer cobrar dez centavos por cada postagem no Instagram","""Click Tax"": Lulalelé wants to charge ten cents per Instagram post"
Economia,20,Bets passam a representar 10% do PIB,Sports betting now represents 10% of GDP
Meister,Positive,PF investiga movimentações do Banco Meister,Federal Police investigates Banco Meister transactions
Meister,Positive,Conexões a políticos e crime no Banco Meister,Political and criminal ties uncovered at Banco Meister
Meister,Positive,Laranjas e malas de dinheiro: cerco aperta em torno de Vicaro,Front men and cash bags: net closes around Vicaro
Meister,Positive,Juízes do Supremo pegam carona em jatinho de Vicaro,Supreme Court justices caught riding Vicaro's private jet
Meister,Positive,"Lavando dinheiro para o PCC, por dentro do Meister","Laundering PCC money from inside the Meister"
Meister,Positive,Esposa de juiz tem contrato de 100 milhões com Meister,Judge's wife holds R$100 million contract with Meister
Meister,Positive,Centenas de empréstimos pessoais irregulares no Meister,Hundreds of irregular personal loans found at Meister
Meister,Positive,Cessão de Crédito do Meister será revertida pelo BC,Meister's credit assignment to be reversed by Central Bank
Meister,Positive,"""Vicaro comprou todo mundo"" diz promotor","""Vicaro bought everyone off"", says prosecutor"
Meister,Positive,Vazam conversas de Vicaro com PCC,Chats between Vicaro and PCC leaked
Meister,Counter,Investigador do Banco Central desaparece,Central Bank investigator goes missing
Meister,Counter,Juíz do Supremo impõe sigilo na investigação sobre o Meister,Supreme Court justice seals investigation into Meister
Meister,Counter,Deputados fazem votação extraordinária no sábado e votam contra CPI do Meister,Deputies hold emergency Saturday vote and block Meister parliamentary inquiry
Esporte,40,7 a 1 não foi nada: seleção teme fazer papelão na Copa,7-1 was nothing: national team fears disaster at the World Cup
Esporte,40,Feynar quer jogar mas o pai não deixa,Feynar wants to play but his father won't allow it
Cotidiano,40,Segurança de condomínio fechado agride jardineiro,Gated community guard assaults gardener
Cotidiano,40,Socialite bate em faxineira que não a deixou furar a fila do supermercado,Socialite assaults cleaner who blocked her from cutting the supermarket queue
Cotidiano,40,Novo restaurante de Apala tem prato com lágrimas do sous-chef,Apala's new restaurant features a dish made with the sous-chef's tears
Esporte,40,"Jogos do campeonato brasileiro tem 11 minutos de bola correndo, em média",Brazilian championship matches average just 11 minutes of actual play
Esporte,40,Rodada 12 do brasileirão tem metade dos resultados alterados após processos,Round 12 of the Brasileirão has half its results reversed by lawsuits
Cotidiano,40,Influencer infantil entra com Porsche na Lagoa Rodrigo de Freitas,Child influencer drives Porsche into Lagoa Rodrigo de Freitas
Ciência,40,Estudo da Unicamp mostra baixa de QI de até 30% ao assistir BBB,Unicamp study shows up to 30% IQ drop from watching Big Brother Brasil
Cotidiano,40,Dancinha de rede social viraliza no congresso,Social media dance goes viral in Congress
Cotidiano,40,"""Mais soja mais boi mais grana"" agro lidera crescimento econômico","""More soy, more cattle, more cash"": agribusiness leads economic growth"
Cotidiano,40,Trump diz que guerra entretem as pessoas e só morrem otários,Trump says war keeps people entertained and only idiots die
Cotidiano,40,Trump diz que é maior que Napoleão e adota o chapéu,Trump says he's greater than Napoleon and adopts the hat
Cotidiano,40,União Européia abre comissão para discutir efeitos da internet,European Union opens commission to discuss the effects of the internet
Cotidiano,40,Seleções africanas não consguem visto para jogar a Copa nos EUA,African national teams unable to get visas to play the World Cup in the US
